,idx,delta_confirmed,date,country,region
0,308,138,2021-01-27,Ukraine,Cherkaska
1,308,129,2021-01-28,Ukraine,Cherkaska
2,308,122,2021-01-29,Ukraine,Cherkaska
3,308,119,2021-01-30,Ukraine,Cherkaska
4,308,113,2021-01-31,Ukraine,Cherkaska
5,308,125,2021-02-01,Ukraine,Cherkaska
6,308,112,2021-02-02,Ukraine,Cherkaska
7,308,90,2021-01-27,Ukraine,Chernihivska
8,308,96,2021-01-28,Ukraine,Chernihivska
9,308,96,2021-01-29,Ukraine,Chernihivska
10,308,96,2021-01-30,Ukraine,Chernihivska
11,308,92,2021-01-31,Ukraine,Chernihivska
12,308,95,2021-02-01,Ukraine,Chernihivska
13,308,107,2021-02-02,Ukraine,Chernihivska
14,308,190,2021-01-27,Ukraine,Chernivetska
15,308,172,2021-01-28,Ukraine,Chernivetska
16,308,172,2021-01-29,Ukraine,Chernivetska
17,308,175,2021-01-30,Ukraine,Chernivetska
18,308,181,2021-01-31,Ukraine,Chernivetska
19,308,174,2021-02-01,Ukraine,Chernivetska
20,308,171,2021-02-02,Ukraine,Chernivetska
21,308,262,2021-01-27,Ukraine,Dnipropetrovska
22,308,262,2021-01-28,Ukraine,Dnipropetrovska
23,308,254,2021-01-29,Ukraine,Dnipropetrovska
24,308,237,2021-01-30,Ukraine,Dnipropetrovska
25,308,265,2021-01-31,Ukraine,Dnipropetrovska
26,308,249,2021-02-01,Ukraine,Dnipropetrovska
27,308,266,2021-02-02,Ukraine,Dnipropetrovska
28,308,193,2021-01-27,Ukraine,Donetska
29,308,188,2021-01-28,Ukraine,Donetska
30,308,184,2021-01-29,Ukraine,Donetska
31,308,192,2021-01-30,Ukraine,Donetska
32,308,199,2021-01-31,Ukraine,Donetska
33,308,196,2021-02-01,Ukraine,Donetska
34,308,207,2021-02-02,Ukraine,Donetska
35,308,186,2021-01-27,Ukraine,Ivano-Frankivska
36,308,193,2021-01-28,Ukraine,Ivano-Frankivska
37,308,181,2021-01-29,Ukraine,Ivano-Frankivska
38,308,175,2021-01-30,Ukraine,Ivano-Frankivska
39,308,170,2021-01-31,Ukraine,Ivano-Frankivska
40,308,169,2021-02-01,Ukraine,Ivano-Frankivska
41,308,160,2021-02-02,Ukraine,Ivano-Frankivska
42,308,212,2021-01-27,Ukraine,Kharkivska
43,308,201,2021-01-28,Ukraine,Kharkivska
44,308,190,2021-01-29,Ukraine,Kharkivska
45,308,184,2021-01-30,Ukraine,Kharkivska
46,308,184,2021-01-31,Ukraine,Kharkivska
47,308,191,2021-02-01,Ukraine,Kharkivska
48,308,201,2021-02-02,Ukraine,Kharkivska
49,308,75,2021-01-27,Ukraine,Khersonska
50,308,76,2021-01-28,Ukraine,Khersonska
51,308,72,2021-01-29,Ukraine,Khersonska
52,308,68,2021-01-30,Ukraine,Khersonska
53,308,71,2021-01-31,Ukraine,Khersonska
54,308,71,2021-02-01,Ukraine,Khersonska
55,308,66,2021-02-02,Ukraine,Khersonska
56,308,80,2021-01-27,Ukraine,Khmelnytska
57,308,73,2021-01-28,Ukraine,Khmelnytska
58,308,68,2021-01-29,Ukraine,Khmelnytska
59,308,60,2021-01-30,Ukraine,Khmelnytska
60,308,60,2021-01-31,Ukraine,Khmelnytska
61,308,50,2021-02-01,Ukraine,Khmelnytska
62,308,47,2021-02-02,Ukraine,Khmelnytska
63,308,33,2021-01-27,Ukraine,Kirovohradska
64,308,35,2021-01-28,Ukraine,Kirovohradska
65,308,36,2021-01-29,Ukraine,Kirovohradska
66,308,35,2021-01-30,Ukraine,Kirovohradska
67,308,35,2021-01-31,Ukraine,Kirovohradska
68,308,38,2021-02-01,Ukraine,Kirovohradska
69,308,38,2021-02-02,Ukraine,Kirovohradska
70,308,391,2021-01-27,Ukraine,Kyiv
71,308,376,2021-01-28,Ukraine,Kyiv
72,308,350,2021-01-29,Ukraine,Kyiv
73,308,351,2021-01-30,Ukraine,Kyiv
74,308,346,2021-01-31,Ukraine,Kyiv
75,308,341,2021-02-01,Ukraine,Kyiv
76,308,346,2021-02-02,Ukraine,Kyiv
77,308,210,2021-01-27,Ukraine,Kyivska
78,308,200,2021-01-28,Ukraine,Kyivska
79,308,190,2021-01-29,Ukraine,Kyivska
80,308,208,2021-01-30,Ukraine,Kyivska
81,308,191,2021-01-31,Ukraine,Kyivska
82,308,198,2021-02-01,Ukraine,Kyivska
83,308,201,2021-02-02,Ukraine,Kyivska
84,308,91,2021-01-27,Ukraine,Luhanska
85,308,94,2021-01-28,Ukraine,Luhanska
86,308,93,2021-01-29,Ukraine,Luhanska
87,308,92,2021-01-30,Ukraine,Luhanska
88,308,89,2021-01-31,Ukraine,Luhanska
89,308,106,2021-02-01,Ukraine,Luhanska
90,308,120,2021-02-02,Ukraine,Luhanska
91,308,245,2021-01-27,Ukraine,Lvivska
92,308,239,2021-01-28,Ukraine,Lvivska
93,308,234,2021-01-29,Ukraine,Lvivska
94,308,230,2021-01-30,Ukraine,Lvivska
95,308,251,2021-01-31,Ukraine,Lvivska
96,308,237,2021-02-01,Ukraine,Lvivska
97,308,241,2021-02-02,Ukraine,Lvivska
98,308,209,2021-01-27,Ukraine,Mykolaivska
99,308,198,2021-01-28,Ukraine,Mykolaivska
100,308,194,2021-01-29,Ukraine,Mykolaivska
101,308,206,2021-01-30,Ukraine,Mykolaivska
102,308,213,2021-01-31,Ukraine,Mykolaivska
103,308,218,2021-02-01,Ukraine,Mykolaivska
104,308,218,2021-02-02,Ukraine,Mykolaivska
105,308,214,2021-01-27,Ukraine,Odeska
106,308,200,2021-01-28,Ukraine,Odeska
107,308,203,2021-01-29,Ukraine,Odeska
108,308,202,2021-01-30,Ukraine,Odeska
109,308,202,2021-01-31,Ukraine,Odeska
110,308,201,2021-02-01,Ukraine,Odeska
111,308,196,2021-02-02,Ukraine,Odeska
112,308,129,2021-01-27,Ukraine,Poltavska
113,308,122,2021-01-28,Ukraine,Poltavska
114,308,118,2021-01-29,Ukraine,Poltavska
115,308,109,2021-01-30,Ukraine,Poltavska
116,308,99,2021-01-31,Ukraine,Poltavska
117,308,103,2021-02-01,Ukraine,Poltavska
118,308,92,2021-02-02,Ukraine,Poltavska
119,308,122,2021-01-27,Ukraine,Rivnenska
120,308,109,2021-01-28,Ukraine,Rivnenska
121,308,113,2021-01-29,Ukraine,Rivnenska
122,308,110,2021-01-30,Ukraine,Rivnenska
123,308,100,2021-01-31,Ukraine,Rivnenska
124,308,102,2021-02-01,Ukraine,Rivnenska
125,308,100,2021-02-02,Ukraine,Rivnenska
126,308,110,2021-01-27,Ukraine,Sumska
127,308,97,2021-01-28,Ukraine,Sumska
128,308,99,2021-01-29,Ukraine,Sumska
129,308,88,2021-01-30,Ukraine,Sumska
130,308,90,2021-01-31,Ukraine,Sumska
131,308,88,2021-02-01,Ukraine,Sumska
132,308,84,2021-02-02,Ukraine,Sumska
133,308,118,2021-01-27,Ukraine,Ternopilska
134,308,122,2021-01-28,Ukraine,Ternopilska
135,308,117,2021-01-29,Ukraine,Ternopilska
136,308,124,2021-01-30,Ukraine,Ternopilska
137,308,124,2021-01-31,Ukraine,Ternopilska
